,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1551,97000.0,Santa Etelvina,Norte,Apartamentos,43.0,2.0,1.0,1.0
1552,320000.0,Tarumã-Açu,Oeste,Casas,200.0,3.0,4.0,1.0
1553,760000.0,Aleixo,Centro-Sul,Apartamentos,106.0,3.0,2.0,1.0
1554,190000.0,Novo Aleixo,Norte,Casas,70.0,2.0,1.0,2.0
1555,190000.0,Centro,Sul,Apartamentos,55.0,1.0,1.0,1.0
1556,120000.0,Cidade de Deus,Norte,Apartamentos,45.0,2.0,1.0,1.0
1557,179920.0,Nova Esperança,Oeste,Casas,250.0,3.0,2.0,2.0
1559,989057.0,Tarumã,Oeste,Casas,175.0,3.0,5.0,5.0
1560,462000.0,Flores,Centro-Sul,Apartamentos,85.0,3.0,2.0,3.0
1561,450000.0,Da Paz,Centro-Oeste,Casas,400.0,2.0,2.0,5.0
1562,6963000.0,Adrianópolis,Centro-Sul,Apartamentos,538.0,5.0,4.0,5.0
1563,260009.0,Cidade Nova,Norte,Casas,76.0,3.0,2.0,2.0
1565,430000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,103.0,3.0,2.0,3.0
1568,1250000.0,Colônia Terra Nova,Norte,Casas,286.0,3.0,2.0,3.0
1569,155006.0,Flores,Centro-Sul,Casas,50.0,2.0,2.0,2.0
1570,150000.0,Tarumã,Oeste,Apartamentos,41.0,2.0,1.0,1.0
1572,240000.0,Flores,Centro-Sul,Casas,60.0,2.0,2.0,1.0
1573,350000.0,Centro,Sul,Apartamentos,150.0,3.0,1.0,2.0
1576,380000.0,Flores,Centro-Sul,Apartamentos,74.0,3.0,2.0,2.0
1577,1789000.0,São Geraldo,Centro-Sul,Apartamentos,235.0,4.0,4.0,4.0
1578,600000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,166.0,4.0,2.0,5.0
1579,400000.0,Parque 10 de Novembro,Centro-Sul,Casas,90.0,3.0,2.0,2.0
1580,250000.0,Santa Etelvina,Norte,Casas,60.0,2.0,5.0,2.0
1581,695600.0,Ponta Negra,Oeste,Casas,145.0,3.0,2.0,3.0
1582,119000.0,Tarumã-Açu,Oeste,Apartamentos,41.0,2.0,1.0,1.0
1583,5200000.0,Aleixo,Centro-Sul,Casas,900.0,4.0,5.0,5.0
1586,130000.0,Tarumã,Oeste,Apartamentos,42.0,2.0,1.0,1.0
1587,435000.0,Flores,Centro-Sul,Apartamentos,74.0,3.0,2.0,2.0
