,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
2850,3645,260000.0,Alvorada,Centro-Oeste,Casas,120.0,3.0,2.0,2.0
2859,3656,739900.0,São Jorge,Oeste,Apartamentos,113.0,3.0,2.0,3.0
2868,3671,900000.0,Ponta Negra,Oeste,Casas,275.0,3.0,3.0,4.0
2877,3681,320000.0,Colônia Santo Antônio,Norte,Casas,88.0,3.0,2.0,3.0
2886,3692,370000.0,Parque 10 de Novembro,Centro-Sul,Casas,80.0,2.0,2.0,2.0
2895,3701,330000.0,Alvorada,Centro-Oeste,Casas,360.0,3.0,1.0,2.0
2904,3712,850000.0,Tarumã,Oeste,Casas,350.0,3.0,0.0,5.0
2913,3722,1650000.0,Ponta Negra,Oeste,Casas,280.0,4.0,4.0,5.0
2922,3734,750000.0,Dom Pedro I,Centro-Oeste,Apartamentos,113.0,3.0,2.0,4.0
2931,3744,595000.0,Santo Agostinho,Oeste,Casas,180.0,2.0,2.0,2.0
2940,3753,500000.0,Centro,Sul,Casas,350.0,5.0,3.0,5.0
2949,3763,215000.0,Planalto,Centro-Oeste,Apartamentos,52.0,3.0,1.0,1.0
2958,3773,300000.0,Planalto,Centro-Oeste,Casas,500.0,3.0,3.0,3.0
2967,3784,260000.0,São Francisco,Sul,Apartamentos,70.0,3.0,1.0,2.0
2976,3794,150000.0,Crespo,Sul,Apartamentos,32.0,1.0,1.0,1.0
2985,3807,465000.0,Ponta Negra,Oeste,Apartamentos,88.0,3.0,1.0,3.0
2994,3825,420000.0,Colônia Santo Antônio,Norte,Apartamentos,85.0,3.0,2.0,2.0
3003,3835,600129.0,Aleixo,Centro-Sul,Casas,150.0,3.0,2.0,4.0
3012,3846,330000.0,Ponta Negra,Oeste,Apartamentos,55.0,2.0,1.0,1.0
3021,3859,550000.0,Alvorada,Centro-Oeste,Casas,175.0,4.0,3.0,2.0
3030,3870,550000.0,Dom Pedro I,Centro-Oeste,Casas,100.0,3.0,3.0,2.0
3039,3882,189990.0,Planalto,Centro-Oeste,Apartamentos,38.0,2.0,1.0,1.0
3048,3895,249000.0,Dom Pedro I,Centro-Oeste,Casas,122.0,3.0,2.0,2.0
3057,3904,450000.0,Colônia Santo Antônio,Norte,Apartamentos,78.0,3.0,2.0,2.0
3066,3914,790000.0,Novo Aleixo,Norte,Casas,160.0,4.0,4.0,5.0
3075,3925,860000.0,Flores,Centro-Sul,Casas,240.0,4.0,4.0,4.0
3084,3935,150000.0,Nova Cidade,Norte,Casas,128.0,3.0,2.0,2.0
3093,3949,250000.0,Flores,Centro-Sul,Apartamentos,52.0,2.0,1.0,2.0
3102,3963,2000000.0,Aleixo,Centro-Sul,Apartamentos,270.0,5.0,4.0,5.0
3111,3977,550000.0,Alvorada,Centro-Oeste,Casas,212.0,5.0,3.0,4.0
3120,3987,170000.0,Tarumã-Açu,Oeste,Apartamentos,70.0,2.0,1.0,2.0
3129,4004,400000.0,Flores,Centro-Sul,Apartamentos,96.0,3.0,2.0,3.0
3138,4015,1500000.0,Ponta Negra,Oeste,Casas,226.0,3.0,2.0,5.0
3147,4028,899000.0,Chapada,Centro-Sul,Casas,350.0,3.0,2.0,2.0
3156,4040,899000.0,Tarumã,Oeste,Casas,177.0,3.0,4.0,4.0
3165,4051,280000.0,Nova Cidade,Norte,Casas,170.0,3.0,1.0,1.0
3174,4067,300020.0,Flores,Centro-Sul,Casas,60.0,2.0,2.0,1.0
3183,4082,3800000.0,Tarumã,Oeste,Casas,630.0,5.0,4.0,5.0
3192,4094,850000.0,Adrianópolis,Centro-Sul,Apartamentos,110.0,3.0,2.0,4.0
3201,4105,345345.0,Ponta Negra,Oeste,Casas,60.0,2.0,2.0,3.0
3210,4116,265000.0,Raiz,Sul,Casas,90.0,2.0,1.0,2.0
3219,4129,350000.0,Cidade Nova,Norte,Casas,150.0,4.0,2.0,4.0
3228,4139,500000.0,Dom Pedro I,Centro-Oeste,Apartamentos,98.0,3.0,2.0,2.0
3237,4150,270000.0,Compensa,Oeste,Casas,314.0,4.0,2.0,4.0
3246,4162,343240.0,Ponta Negra,Oeste,Casas,59.0,2.0,1.0,2.0
3255,4173,300000.0,Cidade Nova,Norte,Casas,300.0,3.0,3.0,2.0
3264,4186,320000.0,Ponta Negra,Oeste,Apartamentos,60.0,2.0,1.0,1.0
3273,4198,850000.0,Ponta Negra,Oeste,Casas,142.0,3.0,4.0,4.0
3282,4208,3600000.0,Tarumã,Oeste,Casas,522.0,4.0,4.0,5.0
3291,4219,230000.0,Flores,Centro-Sul,Casas,60.0,2.0,1.0,1.0
3300,4230,350065.0,Alvorada,Centro-Oeste,Casas,90.0,3.0,2.0,2.0
3309,4242,990000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,223.0,5.0,3.0,4.0
