valor,cep,cidade,bairro,zona,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
950000,69037145,Manaus,Ponta Negra,Oeste,Alameda Carlota Bonfim,Casas,170,3,4,4
200000,69054700,Manaus,Parque 10 de Novembro,Centro-Sul,Avenida Tancredo Neves - de 1079/1080 a 1859/1860,Apartamentos,60,2,1,1
450000,69055180,Manaus,Parque 10 de Novembro,Centro-Sul,null,Apartamentos,85,3,1,2
50000,69092410,Manaus,Nova Cidade,Norte,Rua Monte Albert,Apartamentos,50,2,null,1
580000,69093415,Manaus,Colônia Terra Nova,Norte,Avenida Torquato Tapajós,Casas,175,3,4,4
750000,69055170,Manaus,Parque 10 de Novembro,Centro-Sul,Conjunto Jardim Itália,Apartamentos,160,3,3,4
270000,69098404,Manaus,Novo Aleixo,Norte,Rua Agave,Casas,200,3,2,2
90000,69073280,Manaus,São Lázaro,Sul,Rua Magalhães Barata,Casas,810,1,5,0
300000,69058828,Manaus,Flores,Centro-Sul,Rua Jorge Luiz Milani,Apartamentos,65,2,1,1
530000,69041516,Manaus,Tarumã,Oeste,Rua 13,Apartamentos,146,3,4,3
450000,69050001,Manaus,Chapada,Centro-Sul,Avenida Constantino Nery - de 2600/2601 a 4500/4501,Apartamentos,140,2,2,3
145000,69041360,Manaus,Tarumã,Oeste,Travessa Canoa Quebrada,Apartamentos,45,2,1,1
3700000,69037000,Manaus,Ponta Negra,Oeste,Avenida Coronel Teixeira,Apartamentos,450,4,4,5
1450000,69037107,Manaus,Ponta Negra,Oeste,Rua Thales Loureiro,Casas,246,4,5,5
